store_id,item_id,wm_yr_wk,sell_price
CA_1,FOODS_1_001,202512,15.92
CA_1,FOODS_1_001,202513,17.69
CA_1,FOODS_1_001,202514,17.69
CA_1,FOODS_1_001,202515,17.69
CA_1,FOODS_1_001,202516,17.69
CA_1,FOODS_1_001,202517,17.69
CA_1,FOODS_1_001,202518,17.69
CA_1,FOODS_1_001,202519,17.69
CA_1,FOODS_1_001,202520,17.69
CA_1,FOODS_1_001,202521,16.81
CA_1,FOODS_1_001,202522,17.69
CA_1,FOODS_1_001,202523,17.69
CA_1,FOODS_1_001,202524,16.81
CA_1,FOODS_1_001,202525,17.69
CA_1,FOODS_1_001,202526,17.69
CA_1,FOODS_1_001,202527,18.58
CA_1,FOODS_1_001,202528,17.69
CA_1,FOODS_1_001,202529,17.69
CA_1,FOODS_1_001,202530,17.69
CA_1,FOODS_1_001,202531,17.69
CA_1,FOODS_1_001,202532,18.58
CA_1,FOODS_1_001,202533,18.58
CA_1,FOODS_1_001,202534,17.69
CA_1,FOODS_1_001,202535,16.81
CA_1,FOODS_1_001,202536,17.69
CA_1,FOODS_1_001,202537,17.69
CA_1,FOODS_1_001,202538,17.69
CA_1,FOODS_1_001,202539,18.58
CA_1,FOODS_1_001,202540,17.69
CA_1,FOODS_1_001,202541,18.58
CA_1,FOODS_1_001,202542,17.69
CA_1,FOODS_1_001,202543,17.69
CA_1,FOODS_1_001,202544,18.58
CA_1,FOODS_1_001,202545,17.69
CA_1,FOODS_1_001,202546,17.69
CA_1,FOODS_1_001,202547,17.69
CA_1,FOODS_1_001,202548,17.69
CA_1,FOODS_1_001,202549,17.69
CA_1,FOODS_1_001,202550,17.69
CA_1,FOODS_1_001,202551,17.69
CA_1,FOODS_1_001,202552,17.69
CA_1,FOODS_1_001,202501,17.69
CA_1,FOODS_1_001,202601,18.58
CA_1,FOODS_1_001,202602,17.69
CA_1,FOODS_1_001,202603,16.81
CA_1,FOODS_1_001,202604,17.69
CA_1,FOODS_1_001,202605,17.69
CA_1,FOODS_1_001,202606,18.58
CA_1,FOODS_1_001,202607,17.69
CA_1,FOODS_1_001,202608,17.69
CA_1,FOODS_1_001,202609,17.69
CA_1,FOODS_1_001,202610,17.69
CA_1,FOODS_1_001,202611,15.92
CA_1,FOODS_1_001,202612,17.69
CA_1,FOODS_1_002,202512,7.13
CA_1,FOODS_1_002,202513,7.92
CA_1,FOODS_1_002,202514,7.92
CA_1,FOODS_1_002,202515,7.92
CA_1,FOODS_1_002,202516,7.92
CA_1,FOODS_1_002,202517,7.92
CA_1,FOODS_1_002,202518,7.92
CA_1,FOODS_1_002,202519,7.52
CA_1,FOODS_1_002,202520,7.92
CA_1,FOODS_1_002,202521,7.92
CA_1,FOODS_1_002,202522,7.92
CA_1,FOODS_1_002,202523,7.92
CA_1,FOODS_1_002,202524,7.92
CA_1,FOODS_1_002,202525,7.52
CA_1,FOODS_1_002,202526,7.92
CA_1,FOODS_1_002,202527,8.31
CA_1,FOODS_1_002,202528,7.52
CA_1,FOODS_1_002,202529,7.52
CA_1,FOODS_1_002,202530,7.92
CA_1,FOODS_1_002,202531,7.92
CA_1,FOODS_1_002,202532,7.13
CA_1,FOODS_1_002,202533,7.13
CA_1,FOODS_1_002,202534,7.92
CA_1,FOODS_1_002,202535,7.52
CA_1,FOODS_1_002,202536,7.92
CA_1,FOODS_1_002,202537,8.31
CA_1,FOODS_1_002,202538,7.92
CA_1,FOODS_1_002,202539,7.92
CA_1,FOODS_1_002,202540,7.92
CA_1,FOODS_1_002,202541,7.92
CA_1,FOODS_1_002,202542,7.92
CA_1,FOODS_1_002,202543,7.92
CA_1,FOODS_1_002,202544,8.31
CA_1,FOODS_1_002,202545,7.92
CA_1,FOODS_1_002,202546,7.92
CA_1,FOODS_1_002,202547,8.31
CA_1,FOODS_1_002,202548,7.92
CA_1,FOODS_1_002,202549,7.92
CA_1,FOODS_1_002,202550,7.13
CA_1,FOODS_1_002,202551,7.92
CA_1,FOODS_1_002,202552,7.92
CA_1,FOODS_1_002,202501,7.52
CA_1,FOODS_1_002,202601,7.92
CA_1,FOODS_1_002,202602,7.92
CA_1,FOODS_1_002,202603,7.52
CA_1,FOODS_1_002,202604,7.92
CA_1,FOODS_1_002,202605,7.92
CA_1,FOODS_1_002,202606,7.92
CA_1,FOODS_1_002,202607,7.92
CA_1,FOODS_1_002,202608,7.92
