date,store_id,sku,units,lag7,lag14,lag28,rolling7_mean,rolling7_std,rolling30_mean,rolling30_std,price,price_change,promo,day_of_week,month,is_holiday,is_snap
2025-04-19,CA_1,FOODS_1_001,14,15.0,30.0,19.0,16.428571428571427,6.160550377391691,16.275862068965516,5.65620109591574,17.691111111111113,0.0,False,5,4,False,False
2025-04-20,CA_1,FOODS_1_001,18,28.0,14.0,11.0,15.0,3.6968455021364623,16.333333333333332,5.566732052751096,17.691111111111113,0.0,False,6,4,False,False
2025-04-21,CA_1,FOODS_1_001,22,21.0,22.0,14.0,15.142857142857142,3.9761191895520107,16.433333333333334,5.642714761979154,17.691111111111113,0.0,False,0,4,False,False
2025-04-22,CA_1,FOODS_1_001,13,10.0,17.0,16.0,15.571428571428571,3.4572215654164964,16.5,5.58785629119383,17.691111111111113,0.0,False,1,4,False,False
2025-04-23,CA_1,FOODS_1_001,13,12.0,14.0,12.0,15.714285714285714,3.3022358947782404,16.466666666666665,5.606236264863554,17.691111111111113,0.0,False,2,4,False,False
2025-04-24,CA_1,FOODS_1_001,10,14.0,11.0,16.0,15.142857142857142,3.933978962347207,16.266666666666666,5.729135057384066,17.691111111111113,0.0,True,3,4,False,False
2025-04-25,CA_1,FOODS_1_001,20,16.0,14.0,23.0,15.714285714285714,4.347960660443221,16.533333333333335,5.709842278957861,17.691111111111113,0.0,True,4,4,False,False
2025-04-26,CA_1,FOODS_1_001,23,14.0,15.0,28.0,17.0,5.033222956847163,16.766666666666666,5.829078908330219,17.691111111111113,0.0,False,5,4,False,False
2025-04-27,CA_1,FOODS_1_001,18,18.0,28.0,21.0,17.0,5.033222956847163,16.6,5.715073837276053,17.691111111111113,0.0,False,6,4,False,False
2025-04-28,CA_1,FOODS_1_001,12,22.0,21.0,8.0,15.571428571428571,4.790864322059318,16.066666666666666,5.349401083674973,17.691111111111113,0.0,False,0,4,False,False
2025-04-29,CA_1,FOODS_1_001,19,13.0,10.0,12.0,16.428571428571427,4.79086432205932,16.0,5.298015243205834,17.691111111111113,0.0,False,1,4,False,False
2025-04-30,CA_1,FOODS_1_001,9,13.0,12.0,13.0,15.857142857142858,5.459809869356602,16.033333333333335,5.248864135471947,17.691111111111113,0.0,False,2,4,False,False
2025-05-01,CA_1,FOODS_1_001,14,10.0,14.0,10.0,16.428571428571427,4.928053803045806,16.1,5.208414941889379,17.691111111111113,0.0,False,3,5,False,False
2025-05-02,CA_1,FOODS_1_001,10,20.0,16.0,17.0,15.0,5.163977794943214,16.0,5.298015243205834,17.691111111111113,0.0,False,4,5,False,False
2025-05-03,CA_1,FOODS_1_001,26,23.0,14.0,30.0,15.428571428571429,5.996030432909833,16.533333333333335,5.475546474590668,17.691111111111113,0.0,False,5,5,False,False
2025-05-04,CA_1,FOODS_1_001,25,18.0,18.0,14.0,16.428571428571427,6.996597812678738,16.8,5.689676071017,17.691111111111113,0.0,False,6,5,False,False
2025-05-05,CA_1,FOODS_1_001,20,12.0,22.0,22.0,17.571428571428573,6.803360514166087,16.466666666666665,5.157741642480234,17.691111111111113,0.0,False,0,5,False,False
2025-05-06,CA_1,FOODS_1_001,14,19.0,13.0,17.0,16.857142857142858,6.890296835129124,16.466666666666665,5.157741642480234,17.691111111111113,0.0,False,1,5,False,False
2025-05-07,CA_1,FOODS_1_001,18,9.0,13.0,14.0,18.142857142857142,5.956189257922422,16.333333333333332,5.06055287516086,17.691111111111113,0.0,False,2,5,False,False
2025-05-08,CA_1,FOODS_1_001,19,14.0,10.0,11.0,18.857142857142858,5.669467095138407,16.4,5.082763299487857,17.691111111111113,0.0,True,3,5,False,False
2025-05-09,CA_1,FOODS_1_001,17,10.0,20.0,14.0,19.857142857142858,4.298393941484481,16.5,5.063391258285573,17.691111111111113,0.0,False,4,5,False,False
2025-05-10,CA_1,FOODS_1_001,21,26.0,23.0,15.0,19.142857142857142,3.4364987719368982,16.833333333333332,5.017784463240746,17.691111111111113,0.0,False,5,5,False,False
2025-05-11,CA_1,FOODS_1_001,22,25.0,18.0,28.0,18.714285714285715,2.690370836538195,17.1,5.074275895343981,17.691111111111113,0.0,False,6,5,False,False
2025-05-12,CA_1,FOODS_1_001,15,20.0,12.0,21.0,18.0,2.943920288775944,17.1,5.074275895343981,17.691111111111113,0.0,True,0,5,False,False
2025-05-13,CA_1,FOODS_1_001,13,14.0,19.0,10.0,17.857142857142858,3.1847852585154173,16.6,4.68747413785969,17.691111111111113,0.0,False,1,5,False,False
2025-05-14,CA_1,FOODS_1_001,12,18.0,9.0,12.0,17.0,3.8729833462074104,16.3,4.684162605028226,17.691111111111113,0.0,False,2,5,False,False
2025-05-15,CA_1,FOODS_1_001,18,19.0,14.0,14.0,16.857142857142858,3.80475892484536,16.566666666666666,4.538595661073217,17.691111111111113,0.0,True,3,5,False,False
2025-05-16,CA_1,FOODS_1_001,21,17.0,10.0,16.0,17.428571428571427,4.117326918327097,16.866666666666667,4.5237559412607515,17.691111111111113,0.0,False,4,5,False,False
2025-05-17,CA_1,FOODS_1_001,21,21.0,26.0,14.0,17.428571428571427,4.117326918327097,17.1,4.551240831185302,17.691111111111113,0.0,True,5,5,False,False
2025-05-18,CA_1,FOODS_1_001,11,22.0,25.0,18.0,15.857142857142858,4.180453381654961,16.933333333333334,4.6825673280380276,17.691111111111113,0.0,False,6,5,False,False
2025-05-19,CA_1,FOODS_1_001,11,15.0,20.0,22.0,15.285714285714286,4.572172558506712,16.833333333333332,4.7784237289438165,17.691111111111113,0.0,False,0,5,False,False
2025-05-20,CA_1,FOODS_1_001,16,13.0,14.0,13.0,15.714285714285714,4.461475305855881,16.766666666666666,4.775536318198908,17.691111111111113,0.0,False,1,5,False,False
2025-05-21,CA_1,FOODS_1_001,8,12.0,18.0,13.0,15.142857142857142,5.209880722517268,16.3,4.928103783054058,17.691111111111113,0.0,False,2,5,False,False
