date,store_id,sku,units,price,promo
2025-01-29,CA_1,FOODS_1_001,11,17.691111111111113,False
2025-01-29,CA_1,FOODS_1_002,18,7.831111111111111,False
2025-01-29,CA_1,FOODS_1_003,5,13.34425925925926,False
2025-01-29,CA_1,FOODS_1_004,5,15.247222222222222,False
2025-01-29,CA_1,FOODS_1_005,19,12.164814814814815,False
2025-01-29,CA_1,FOODS_1_006,28,22.09777777777778,False
2025-01-29,CA_1,FOODS_1_007,32,4.805555555555555,False
2025-01-29,CA_1,FOODS_1_008,6,22.38074074074074,False
2025-01-29,CA_1,FOODS_1_009,23,7.220185185185185,False
2025-01-29,CA_1,FOODS_1_010,39,2.4346296296296295,False
2025-01-29,CA_1,HOBBIES_2_001,26,27.489074074074075,False
2025-01-29,CA_1,HOBBIES_2_002,23,21.032222222222224,False
2025-01-29,CA_1,HOBBIES_2_003,36,7.477592592592592,False
2025-01-29,CA_1,HOBBIES_2_004,6,17.156296296296293,False
2025-01-29,CA_1,HOBBIES_2_005,51,26.857407407407408,False
2025-01-29,CA_1,HOBBIES_2_006,36,16.012962962962963,False
2025-01-29,CA_1,HOBBIES_2_007,28,7.78111111111111,False
2025-01-29,CA_1,HOBBIES_2_008,7,20.90277777777778,False
2025-01-29,CA_1,HOBBIES_2_009,20,23.31351851851852,False
2025-01-29,CA_1,HOBBIES_2_010,36,28.296666666666667,False
2025-01-29,CA_1,HOUSEHOLD_3_001,30,26.859074074074076,False
2025-01-29,CA_1,HOUSEHOLD_3_002,24,8.303333333333333,False
2025-01-29,CA_1,HOUSEHOLD_3_003,27,10.659074074074075,False
2025-01-29,CA_1,HOUSEHOLD_3_004,16,9.302222222222222,False
2025-01-29,CA_1,HOUSEHOLD_3_005,35,11.196666666666667,False
2025-01-29,CA_1,HOUSEHOLD_3_006,3,14.55962962962963,False
2025-01-29,CA_1,HOUSEHOLD_3_007,22,3.650740740740741,False
2025-01-29,CA_1,HOUSEHOLD_3_008,10,5.8190740740740745,False
2025-01-29,CA_1,HOUSEHOLD_3_009,15,25.686666666666664,False
2025-01-29,CA_1,HOUSEHOLD_3_010,48,12.473703703703704,False
2025-01-29,CA_2,FOODS_1_001,35,17.99685185185185,False
2025-01-29,CA_2,FOODS_1_002,10,23.960740740740743,False
2025-01-29,CA_2,FOODS_1_003,42,29.471851851851852,False
2025-01-29,CA_2,FOODS_1_004,6,27.756666666666664,False
2025-01-29,CA_2,FOODS_1_005,16,11.397962962962962,False
2025-01-29,CA_2,FOODS_1_006,11,10.512037037037036,False
2025-01-29,CA_2,FOODS_1_007,33,5.280925925925926,False
